industry,stage,goal,revenue,fixed_cost,variable_cost,total_cost,profit,cash_reserve,debt,growth_rate,customer_count,CAC,LTV,profit_margin,burn_rate,runway_months,debt_ratio,risk_level,health_score,recommendation
Fintech,Startup,Profit Maximization,1792743,894545.290086172,1684840.13615519,2579385.42624136,-786642.426241363,570795.618119519,83303.1913034035,0.333088072887468,44231,114.290068064873,431.800409663191,-0.438792635777333,786642.426241363,0.725610009171287,0.0464668897345596,High,100,Improve margins
Healthcare,Growth,Survival,23544107,9592177.65269937,22356867.0316453,31949044.6843447,-8404937.68434468,35059439.866025,11630440.5865572,0.20582658024414,72032,244.375258388952,615.655074935439,-0.356986896311025,8404937.68434468,4.17129087480659,0.493985207702173,High,100,Reduce costs and extend runway
Manufacturing,Mature,Cost Optimization,250427519,69319797.397041,99790597.81604,169110395.213081,81317123.786919,184940216.392978,157303734.392074,-0.000163108920820138,56986,492.453898613055,1543.18807069715,0.324713210878869,0,32.6385697616717,0.628140769114411,Low,100,Cut operational inefficiencies
Healthcare,Startup,Profit Maximization,3516664,3375131.68696406,2846088.98020004,6221220.6671641,-2704556.6671641,1851380.38633882,274784.005704117,0.242116513256078,23583,104.917205680151,339.209830561945,-0.769068829767103,2704556.6671641,0.684541170394523,0.0781376912051071,High,0,Improve margins
Manufacturing,Growth,Growth,42709731,18613021.9518921,16732067.7496523,35345089.7015444,7364641.29845563,29692583.3456272,7104905.98783443,0.183850163909996,9792,486.313082494051,2048.81993808979,0.172434738548356,0,34.5479745975405,0.166353330294551,Low,100,Invest in expansion
Fintech,Growth,Profit Maximization,49528071,24841341.3867793,29605401.0793316,54446742.466111,-4918671.46611096,71599801.8712636,33462505.9353878,0.27366005506869,82898,422.931879118368,1162.48606061842,-0.0993107820837795,4918671.46611096,14.5567359732353,0.675627078942521,High,100,Improve margins
Fintech,Startup,Growth,1525472,595434.066579221,798958.344018652,1394392.41059787,131079.589402128,995880.179012052,358166.39429078,-0.0929600886424578,87638,368.085804731428,1491.30887245885,0.0859272339329254,0,30.5104883204627,0.234790539774431,Low,100,Invest in expansion
Healthcare,Growth,Profit Maximization,49891129,21781752.8896531,17188624.1474607,38970377.0371139,10920751.9628862,48524979.0514169,13207100.835015,-0.0682208248569882,35322,350.978563698623,1344.50349845938,0.218891658332409,0,26.1911469049855,0.264718419882119,Low,100,Improve margins
Manufacturing,Mature,Growth,84045666,24698304.6631132,23355355.1666783,48053659.8297914,35992006.1702086,97921527.1313893,37738332.7042735,0.285483589977281,91082,68.1951152922941,271.915754874711,0.428243452437019,0,14.661379699484,0.449021758055597,Low,100,Invest in expansion
Fintech,Startup,Profit Maximization,869598,656700.71581177,826996.292331681,1483697.00814345,-614099.008143451,772712.435175327,483855.51817919,-0.0303342727970622,72010,234.672315366033,972.58274575674,-0.706187236106168,614099.008143451,1.25828640810119,0.556412869140902,High,0,Improve margins
Fintech,Startup,Survival,3059034,2632258.71843512,2033705.54113544,4665964.25957056,-1606930.25957056,2979791.76579047,723482.797218308,-0.0472528700848647,95103,411.652434604602,886.285718283564,-0.525306439735734,1606930.25957056,1.85433795153425,0.236506948670171,High,100,Reduce costs and extend runway
Manufacturing,Growth,Profit Maximization,28477595,15466402.0189961,11570468.353496,27036870.3724922,1440724.62750783,13697300.2781805,14755725.5506225,-0.0997398115023421,55116,187.151566171113,388.581952038968,0.0505915133461176,0,24.8181460650106,0.51815209643309,Low,100,Improve margins
Healthcare,Startup,Profit Maximization,1484250,805369.508508932,962198.048157694,1767567.55666663,-283317.556666625,1609263.24563624,431773.789865174,0.38589104136048,62103,161.094228277371,634.23844059382,-0.19088263881868,283317.556666625,5.68006891125997,0.290903681903435,High,100,Improve margins
Manufacturing,Startup,Growth,913168,687661.850211587,936821.523177426,1624483.37338901,-711315.373389013,133570.020325859,252086.417134424,0.217175672350682,46817,115.20269244105,370.156003984953,-0.778953460249388,711315.373389013,0.187778902752339,0.276056998421346,High,0,Stabilize finances
Fintech,Mature,Profit Maximization,493310846,213652599.829725,270721354.775875,484373954.6056,8936891.39439982,728517706.855137,157395538.486241,0.308215936609692,22771,425.886123015157,1116.98440826251,0.0181161461720625,0,16.4764442495965,0.319059553955642,Low,100,Improve margins
